question,optA,optB,optC,optD,correctIndex,imgA,imgB,imgC,imgD
"明日方舟的幹員主要職業分類有：先鋒、近衛、重裝、狙擊、術士、醫療、輔助和特種。以下幹員中誰屬於近衛幹員？","卡涅利安","史爾特爾","斬業星熊","凛御银灰",1,"images/卡涅利安.png","images/史尔特尔.png","images/斩业星熊.png","images/凛御银灰.png"
"「苦難陳述者」指的是哪位幹員？","菲亞梅塔","莫斯提馬","費德里科","阿爾圖羅",0,,,,
"企鵝物流不包含哪位幹員？","可頌","拜松","空","德克薩斯",1,,,,
"龍門是哪個國家的城市？","烏薩斯","哥倫比亞","炎","東",2,,,,
"以下幹員誰的種族是佩洛","忍冬","蘇蘇洛","刻俄柏","巫戀",2,,,,
"以下幹員誰是行動預備組A4的組長？","史都華德","玫蘭莎","安德切爾","安塞爾",1,,,,
"以下幹員誰是羅德島精英幹員中的一員？","迷迭香","鈴蘭","龍舌蘭","桑葚",0,,,,
"以下敵人中哪一個種族不屬於薩卡兹？","薩卡兹大劍手","愛國者","愧悔魂靈聖杯","薩卡兹宿主百夫長",3,,,,
"泰拉世界中，對城市和居民威脅最大的自然災害是什麼？","地震","天災","颱風","洪水",1,,,,
"以下幹員誰是實名報道","艾雅法拉","琴柳","莎草","年",3,,,,
